,precision,recall,f1-score,support
Negative,0.3993157380254154,0.38124125058329444,0.39006922893291957,4286.0
Neutral,0.21388738981831265,0.5092077087794432,0.3012414492019255,2335.0
Positive,0.4012184508268059,0.11031347212251735,0.17304804804804805,4179.0
accuracy,0.30407407407407405,0.30407407407407405,0.30407407407407405,0.30407407407407405
macro avg,0.3381405262235113,0.3335874771617517,0.2881195753942977,10800.0
weighted avg,0.35996168651925115,0.30407407407407405,0.286889193693128,10800.0
